"","site","country","year","yearn","nh","plot","rep","g1","g2","l1","l2","e","dens","type","richness","an_g1","an_g2","an_l1","an_l2","an_weed","an_yield"
"1",1,"Belgium",2003,1,4,1,1,0.7,0.1,0.1,0.1,0.64,"High",1,2,6.63227714,3.011689281,7.996786984,1.13740059,0.109947681,18.888101678
"2",1,"Belgium",2003,1,4,2,1,0.1,0.7,0.1,0.1,0.64,"High",1,2,2.734425562,5.815990451,5.583578249,0.748305596,0.32925983,15.211559688
"3",1,"Belgium",2003,1,4,3,1,0.1,0.1,0.7,0.1,0.64,"High",1,2,3.532818635,2.562061018,11.077140922,0.298025756,0.506267256,17.976313587
"4",1,"Belgium",2003,1,4,4,1,0.1,0.1,0.1,0.7,0.64,"High",1,2,3.546638892,4.073852129,4.273681794,2.983194282,0.276199782,15.15356688
"5",1,"Belgium",2003,1,4,5,1,0.25,0.25,0.25,0.25,1,"High",1,4,4.35896929,3.118096809,7.484666442,2.0328553,0.280113828,17.274701668
"6",1,"Belgium",2003,1,4,6,1,0.4,0.4,0.1,0.1,0.88,"High",1,3,3.830525713,3.69050939,6.010937729,1.863277273,0.266813904,15.662064006
"7",1,"Belgium",2003,1,4,7,1,0.4,0.1,0.4,0.1,0.88,"High",1,3,4.713119217,2.948057239,9.730222991,0.447159923,0.095875556,17.934434924
"8",1,"Belgium",2003,1,4,8,1,0.4,0.1,0.1,0.4,0.88,"High",1,3,5.297552711,3.997068308,5.272356869,1.774956659,0.34432025,16.686254797
"9",1,"Belgium",2003,1,4,9,1,0.1,0.4,0.4,0.1,0.88,"High",1,3,2.56870989,5.153059815,6.834846093,0.410354879,0.287575715,15.254546393
"10",1,"Belgium",2003,1,4,10,1,0.1,0.4,0.1,0.4,0.88,"High",1,3,2.537795413,4.734122294,4.795861056,2.009517715,0.487770542,14.56506702
"11",1,"Belgium",2003,1,4,11,1,0.1,0.1,0.4,0.4,0.88,"High",1,3,3.071126535,2.987128996,8.408989404,1.054075591,0.175924068,15.697244594
"12",1,"Belgium",2003,1,4,12,1,1,0,0,0,0,"High",0,1,10.221945475,0,0,0,0.527038608,10.748984083
"13",1,"Belgium",2003,1,4,13,1,0,1,0,0,0,"High",0,1,0,9.730499129,0,0,0.127708922,9.858208051
"14",1,"Belgium",2003,1,4,14,1,0,0,1,0,0,"High",0,1,0,0,14.53308137,0,1.143801282,15.67688265
"15",1,"Belgium",2003,1,4,15,1,0,0,0,1,0,"High",0,1,0,0,0,7.803166618,2.249405773,10.052572389
"16",1,"Belgium",2003,1,4,16,1,0.7,0.1,0.1,0.1,0.64,"Low",1,2,6.024074516,1.946152293,6.677905668,1.141242397,0.53110172,16.320476593
"17",1,"Belgium",2003,1,4,17,1,0.1,0.7,0.1,0.1,0.64,"Low",1,2,3.087756502,5.430447918,4.734559106,0.51063619,0.206774572,13.970174287
"18",1,"Belgium",2003,1,4,18,1,0.1,0.1,0.7,0.1,0.64,"Low",1,2,3.663042996,2.597651272,9.007831173,0.282189534,0.225514787,15.776229763
"19",1,"Belgium",2003,1,4,19,1,0.1,0.1,0.1,0.7,0.64,"Low",1,2,2.785933417,4.420419397,5.983177457,2.691670901,0.286988115,16.168189287
