site,country,year,yearn,nh,harvest,harvest_dt,plot,treat,rep,g1,g2,l1,l2,e,dens,local_n,Kiel,Canada,Kiel_sep,N_l,N_K,ash_K,NDF_K,ADF_K,CDOMD_K,ME_K,N_C,NDF_C,ADF_C,IVTD_C,IVCWD_C,N_g1_K,ash_g1_K,NDF_g1_K,ADF_g1_K,CDOMD_g1_K,ME_g1_K,N_g2_K,ash_g2_K,NDF_g2_K,ADF_g2_K,CDOMD_g2_K,ME_g2_K,N_l1_K,ash_l1_K,NDF_l1_K,ADF_l1_K,CDOMD_l1_K,ME_l1_K,N_l2_K,ash_l2_K,NDF_l2_K,ADF_l2_K,CDOMD_l2_K,ME_l2_K,N_weed_K,ash_weed_K,NDF_weed_K,ADF_weed_K,CDOMD_weed_K,ME_weed_K
1,Belgium,2003,1,4,1,5/26/2003,1,1,1,0.7,0.1,0.1,0.1,0.64,High,1,1,0,0,1.41408,1.59,8.31,56.57,29.89,66.96,10.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Belgium,2003,1,4,1,5/26/2003,2,1,1,0.1,0.7,0.1,0.1,0.64,High,1,1,0,0,1.52688,1.59,8.09,61.44,31.63,65.03,10.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Belgium,2003,1,4,1,5/26/2003,3,1,1,0.1,0.1,0.7,0.1,0.64,High,1,1,0,0,2.28784,2.6,9.06,55.31,26.72,70.37,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Belgium,2003,1,4,1,5/26/2003,4,1,1,0.1,0.1,0.1,0.7,0.64,High,1,1,0,0,1.74448,1.97,8.49,59.26,30.09,65.86,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Belgium,2003,1,4,1,5/26/2003,5,1,1,0.25,0.25,0.25,0.25,1,High,1,1,0,0,1.62336,1.82,8.26,60.34,31.26,65.61,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Belgium,2003,1,4,1,5/26/2003,6,1,1,0.4,0.4,0.1,0.1,0.88,High,1,0,0,0,1.42544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Belgium,2003,1,4,1,5/26/2003,7,1,1,0.4,0.1,0.4,0.1,0.88,High,1,0,0,0,1.56832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Belgium,2003,1,4,1,5/26/2003,8,1,1,0.4,0.1,0.1,0.4,0.88,High,1,0,0,0,1.6576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Belgium,2003,1,4,1,5/26/2003,9,1,1,0.1,0.4,0.4,0.1,0.88,High,1,0,0,0,1.37136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Belgium,2003,1,4,1,5/26/2003,10,1,1,0.1,0.4,0.1,0.4,0.88,High,1,0,0,0,1.4376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Belgium,2003,1,4,1,5/26/2003,11,1,1,0.1,0.1,0.4,0.4,0.88,High,1,0,0,0,1.90352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Belgium,2003,1,4,1,5/26/2003,12,1,1,1,0,0,0,0,High,1,1,0,0,1.25584,1.3,7.6,54.1,27.76,69.79,10.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Belgium,2003,1,4,1,5/26/2003,13,1,1,0,1,0,0,0,High,1,1,0,0,1.01952,1.07,7.36,61.47,31.92,63.2,10.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Belgium,2003,1,4,1,5/26/2003,14,1,1,0,0,1,0,0,High,1,1,0,0,3.46,3.86,9.81,49.33,22.27,76.12,11.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Belgium,2003,1,4,1,5/26/2003,15,1,1,0,0,0,1,0,High,1,1,0,0,3.32768,3.48,9.04,51.94,24.13,72.37,11.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Belgium,2003,1,4,1,5/26/2003,16,1,1,0.7,0.1,0.1,0.1,0.64,Low,1,1,0,0,1.3816,1.51,7.84,57.37,29.48,66.83,10.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Belgium,2003,1,4,1,5/26/2003,17,1,1,0.1,0.7,0.1,0.1,0.64,Low,1,1,0,0,1.71936,1.66,8.36,57.76,29.27,67.31,10.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
