"","site","country","year","yearn","nh","harvest","harvest_dt","plot","treat","rep","g1","g2","l1","l2","e","dens","local_n","Kiel","Canada","Kiel_sep","N_l","N_K","ash_K","NDF_K","ADF_K","CDOMD_K","ME_K","N_C","NDF_C","ADF_C","IVTD_C","IVCWD_C","N_g1_K","ash_g1_K","NDF_g1_K","ADF_g1_K","CDOMD_g1_K","ME_g1_K","N_g2_K","ash_g2_K","NDF_g2_K","ADF_g2_K","CDOMD_g2_K","ME_g2_K","N_l1_K","ash_l1_K","NDF_l1_K","ADF_l1_K","CDOMD_l1_K","ME_l1_K","N_l2_K","ash_l2_K","NDF_l2_K","ADF_l2_K","CDOMD_l2_K","ME_l2_K","N_weed_K","ash_weed_K","NDF_weed_K","ADF_weed_K","CDOMD_weed_K","ME_weed_K"
"1",1,"Belgium",2003,1,4,1,2003-05-26,1,1,1,0.7,0.1,0.1,0.1,0.64,"High",1,1,0,0,1.41408,1.59,8.31,56.57,29.89,66.96,10.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1,"Belgium",2003,1,4,1,2003-05-26,2,1,1,0.1,0.7,0.1,0.1,0.64,"High",1,1,0,0,1.52688,1.59,8.09,61.44,31.63,65.03,10.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1,"Belgium",2003,1,4,1,2003-05-26,3,1,1,0.1,0.1,0.7,0.1,0.64,"High",1,1,0,0,2.28784,2.6,9.06,55.31,26.72,70.37,10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1,"Belgium",2003,1,4,1,2003-05-26,4,1,1,0.1,0.1,0.1,0.7,0.64,"High",1,1,0,0,1.74448,1.97,8.49,59.26,30.09,65.86,10.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1,"Belgium",2003,1,4,1,2003-05-26,5,1,1,0.25,0.25,0.25,0.25,1,"High",1,1,0,0,1.62336,1.82,8.26,60.34,31.26,65.61,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1,"Belgium",2003,1,4,1,2003-05-26,6,1,1,0.4,0.4,0.1,0.1,0.88,"High",1,0,0,0,1.42544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1,"Belgium",2003,1,4,1,2003-05-26,7,1,1,0.4,0.1,0.4,0.1,0.88,"High",1,0,0,0,1.56832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1,"Belgium",2003,1,4,1,2003-05-26,8,1,1,0.4,0.1,0.1,0.4,0.88,"High",1,0,0,0,1.6576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",1,"Belgium",2003,1,4,1,2003-05-26,9,1,1,0.1,0.4,0.4,0.1,0.88,"High",1,0,0,0,1.37136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1,"Belgium",2003,1,4,1,2003-05-26,10,1,1,0.1,0.4,0.1,0.4,0.88,"High",1,0,0,0,1.4376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",1,"Belgium",2003,1,4,1,2003-05-26,11,1,1,0.1,0.1,0.4,0.4,0.88,"High",1,0,0,0,1.90352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",1,"Belgium",2003,1,4,1,2003-05-26,12,1,1,1,0,0,0,0,"High",1,1,0,0,1.25584,1.3,7.6,54.1,27.76,69.79,10.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",1,"Belgium",2003,1,4,1,2003-05-26,13,1,1,0,1,0,0,0,"High",1,1,0,0,1.01952,1.07,7.36,61.47,31.92,63.2,10.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",1,"Belgium",2003,1,4,1,2003-05-26,14,1,1,0,0,1,0,0,"High",1,1,0,0,3.46,3.86,9.81,49.33,22.27,76.12,11.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",1,"Belgium",2003,1,4,1,2003-05-26,15,1,1,0,0,0,1,0,"High",1,1,0,0,3.32768,3.48,9.04,51.94,24.13,72.37,11.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",1,"Belgium",2003,1,4,1,2003-05-26,16,1,1,0.7,0.1,0.1,0.1,0.64,"Low",1,1,0,0,1.3816,1.51,7.84,57.37,29.48,66.83,10.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",1,"Belgium",2003,1,4,1,2003-05-26,17,1,1,0.1,0.7,0.1,0.1,0.64,"Low",1,1,0,0,1.71936,1.66,8.36,57.76,29.27,67.31,10.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",1,"Belgium",2003,1,4,1,2003-05-26,18,1,1,0.1,0.1,0.7,0.1,0.64,"Low",1,1,0,0,2.028,2.24,8.77,57.09,28.62,67.52,10.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",1,"Belgium",2003,1,4,1,2003-05-26,19,1,1,0.1,0.1,0.1,0.7,0.64,"Low",1,1,0,0,2.12528,2.32,8.41,57.85,29.34,65.99,10.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",1,"Belgium",2003,1,4,1,2003-05-26,20,1,1,0.25,0.25,0.25,0.25,1,"Low",1,1,0,0,1.78192,1.97,8.73,57.3,29.23,66.87,10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",1,"Belgium",2003,1,4,1,2003-05-26,21,1,1,0.4,0.4,0.1,0.1,0.88,"Low",1,0,0,0,1.3256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",1,"Belgium",2003,1,4,1,2003-05-26,22,1,1,0.4,0.1,0.4,0.1,0.88,"Low",1,0,0,0,1.88944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",1,"Belgium",2003,1,4,1,2003-05-26,23,1,1,0.4,0.1,0.1,0.4,0.88,"Low",1,0,0,0,1.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",1,"Belgium",2003,1,4,1,2003-05-26,24,1,1,0.1,0.4,0.4,0.1,0.88,"Low",1,0,0,0,1.80928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",1,"Belgium",2003,1,4,1,2003-05-26,25,1,1,0.1,0.4,0.1,0.4,0.88,"Low",1,0,0,0,1.7432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",1,"Belgium",2003,1,4,1,2003-05-26,26,1,1,0.1,0.1,0.4,0.4,0.88,"Low",1,0,0,0,2.16864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",1,"Belgium",2003,1,4,1,2003-05-26,27,1,1,1,0,0,0,0,"Low",1,1,0,0,1.29664,1.25,7.07,55.21,28.78,67.88,10.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",1,"Belgium",2003,1,4,1,2003-05-26,28,1,1,0,1,0,0,0,"Low",1,1,0,0,1.2808,1.31,7.23,58.19,28.18,67.29,10.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",1,"Belgium",2003,1,4,1,2003-05-26,29,1,1,0,0,1,0,0,"Low",1,1,0,0,2.72688,2.96,9.58,53.65,25.41,70.1,10.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",1,"Belgium",2003,1,4,1,2003-05-26,30,1,1,0,0,0,1,0,"Low",1,1,0,0,3.46912,3.69,10.07,48.54,23.41,74.32,11.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",1,"Belgium",2003,1,4,1,2003-05-26,31,2,1,0.7,0.1,0.1,0.1,0.64,"High",1,0,0,0,1.77904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",1,"Belgium",2003,1,4,1,2003-05-26,32,2,1,0.1,0.7,0.1,0.1,0.64,"High",1,0,0,0,1.52256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",1,"Belgium",2003,1,4,1,2003-05-26,33,2,1,0.1,0.1,0.7,0.1,0.64,"High",1,0,0,0,2.32704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",1,"Belgium",2003,1,4,1,2003-05-26,34,2,1,0.1,0.1,0.1,0.7,0.64,"High",1,0,0,0,2.17456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",1,"Belgium",2003,1,4,1,2003-05-26,35,2,1,0.25,0.25,0.25,0.25,1,"High",1,0,0,0,1.62736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",1,"Belgium",2003,1,4,1,2003-05-26,36,2,1,1,0,0,0,0,"High",1,0,0,0,1.08752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",1,"Belgium",2003,1,4,1,2003-05-26,37,2,1,0,1,0,0,0,"High",1,0,0,0,1.24864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",1,"Belgium",2003,1,4,1,2003-05-26,38,2,1,0,0,1,0,0,"High",1,0,0,0,3.14464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",1,"Belgium",2003,1,4,1,2003-05-26,39,2,1,0,0,0,1,0,"High",1,0,0,0,3.224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",1,"Belgium",2003,1,4,1,2003-05-26,40,2,1,0.7,0.1,0.1,0.1,0.64,"Low",1,0,0,0,1.712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",1,"Belgium",2003,1,4,1,2003-05-26,41,2,1,0.1,0.7,0.1,0.1,0.64,"Low",1,0,0,0,1.60656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",1,"Belgium",2003,1,4,1,2003-05-26,42,2,1,0.1,0.1,0.7,0.1,0.64,"Low",1,0,0,0,2.18848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",1,"Belgium",2003,1,4,1,2003-05-26,43,2,1,0.1,0.1,0.1,0.7,0.64,"Low",1,0,0,0,2.20544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",1,"Belgium",2003,1,4,1,2003-05-26,44,2,1,0.25,0.25,0.25,0.25,1,"Low",1,0,0,0,2.01168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",1,"Belgium",2003,1,4,1,2003-05-26,45,2,1,1,0,0,0,0,"Low",1,0,0,0,1.11136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",1,"Belgium",2003,1,4,1,2003-05-26,46,2,1,0,1,0,0,0,"Low",1,0,0,0,1.31488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",1,"Belgium",2003,1,4,1,2003-05-26,47,2,1,0,0,1,0,0,"Low",1,0,0,0,2.8832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",1,"Belgium",2003,1,4,1,2003-05-26,48,2,1,0,0,0,1,0,"Low",1,0,0,0,3.13392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",1,"Belgium",2003,1,4,2,NA,1,1,1,0.7,0.1,0.1,0.1,0.64,"High",1,1,0,0,2.42112,2.71,8.48,53.82,26.68,67.07,10.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
