site,country,year,plot,an_yield,an_CP_l,an_NDF_C,an_ADF_C,an_IVTD_C,an_IVCWD_C,an_CP_C,an_NDF_K,an_ADF_K,an_CP_K
1,Belgium,2003,1,18.88810168,13.59069899,NA,NA,NA,NA,NA,54.15234985,27.65231541,14.9285938
1,Belgium,2003,2,15.21155969,13.85365724,NA,NA,NA,NA,NA,56.53744599,28.61482209,15.17996094
1,Belgium,2003,3,17.97631359,16.82127855,NA,NA,NA,NA,NA,52.319872,26.67977132,18.8024933
1,Belgium,2003,4,15.15356688,15.12028938,NA,NA,NA,NA,NA,55.23319439,28.2689763,16.47245289
1,Belgium,2003,5,17.27470167,14.70977004,NA,NA,NA,NA,NA,55.21414543,28.12625347,16.32501504
1,Belgium,2003,6,15.66206401,13.85651227,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2003,7,17.93443492,14.61076926,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2003,8,16.6862548,14.5099256,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2003,9,15.25454639,13.77410715,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2003,10,14.56506702,14.14827771,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2003,11,15.69724459,15.56429453,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2003,12,10.74898408,9.689334132,NA,NA,NA,NA,NA,54.97651801,27.41007608,9.952658624
1,Belgium,2003,13,9.858208051,8.855091965,NA,NA,NA,NA,NA,60.23834575,29.39112576,9.473962189
1,Belgium,2003,14,15.67688265,18.98035506,NA,NA,NA,NA,NA,49.0383897,25.49028249,21.26807531
1,Belgium,2003,15,10.05257239,21.27435955,NA,NA,NA,NA,NA,47.83146894,23.49743629,23.0451824
1,Belgium,2003,16,16.32047659,13.73653514,NA,NA,NA,NA,NA,54.9513249,27.8560712,15.03939871
1,Belgium,2003,17,13.97017429,14.905779,NA,NA,NA,NA,NA,55.16834535,27.59311231,15.61428554
1,Belgium,2003,18,15.77622976,16.36839708,NA,NA,NA,NA,NA,53.78330073,27.30915154,17.7609907
1,Belgium,2003,19,16.16818929,16.66992989,NA,NA,NA,NA,NA,53.52884507,27.44204956,18.03649624
1,Belgium,2003,20,17.06169527,14.64721905,NA,NA,NA,NA,NA,54.58495133,28.31597559,15.85488299
1,Belgium,2003,21,16.13131289,14.07198786,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2003,22,17.45431643,15.76845767,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2003,23,16.45525622,15.51852472,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2003,24,15.27034142,15.61996904,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2003,25,13.58178019,15.56337424,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2003,26,16.18820902,16.66495003,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2003,27,12.21212378,10.08560186,NA,NA,NA,NA,NA,56.1661739,27.93760736,10.0693235
1,Belgium,2003,28,8.644166192,9.780374673,NA,NA,NA,NA,NA,57.50014657,26.73313128,10.1753041
1,Belgium,2003,29,15.0348529,18.15224087,NA,NA,NA,NA,NA,50.36203457,25.98570396,20.15273343
1,Belgium,2003,30,10.49640226,21.41591945,NA,NA,NA,NA,NA,47.18292595,23.32254703,23.2344306
1,Belgium,2003,31,15.86019319,14.94517485,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2003,32,14.44328374,14.15024294,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2003,33,16.57844829,17.72366975,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,2003,34,13.51983686,16.50439198,NA,NA,NA,NA,NA,NA,NA,NA
