SITE,Year,Precip_s,Air_mean_a,Air_min_a,Air_max_a
1,2002,398,9.4325,-3,22.46
1,2003,616.3,10.93945205,-6.2,32.32
1,2004,782.8,10.34439891,-5,29.38
1,2005,728.7,11.28143713,-5.8,30.7
7,2004,675.2,3.929234973,-23.93,25.96
7,2005,679.6,4.647945205,-23.9,27.49
7,2006,596.7,4.270958904,-29.29,28.06
9,2003,222,10.39347826,-0.46,23.4
9,2004,693.5,13.44590164,-3.64,34.48
9,2005,475,13.0090411,-6.43,34.43
9,2006,475.5,14.26136986,-4.6,36.64
10,2003,389.8,13.15384615,-7.01,34.56
10,2004,672.9,9.053551913,-11.4,29.46
10,2005,604.4,8.889863014,-15.31,30.36
10,2006,624,9.482191781,-11.54,31.75
11,2004,569.9,9.770057034,-7.45,28.35
11,2005,1169.2,6.86890411,-15.85,28.65
11,2006,923.4,7.842739726,-15.79,31.8
13,2002,696,7.460696517,-8.97,19.07
13,2003,1202.2,5.818219178,-11.99,20.74
13,2004,1155.3,5.328415301,-15.1,22.65
13,2005,911.3,4.783013699,-11.97,20.88
14,2003,656,7.451598174,-10.67,20.74
14,2004,1155.3,5.328415301,-15.1,22.65
14,2005,911.3,4.783013699,-11.97,20.88
14,2006,1133.1,5.24260274,-11.99,20.03
15,2003,701.8,11.98464567,0.33,23.22
15,2004,918.9,10.50136612,-1.46,22.46
15,2005,945.2,10.50575342,-0.3,22.55
15,2006,992.2,10.78383562,-1.31,23.56
15,2007,453.5,9.652197802,0.13,19.55
16,2002,239.2,10.28353365,8.94625,24.55
16,2003,666.5,12.22306849,4.119415091,37.88
16,2004,706.3,12.48797814,5.638875,35.42
16,2005,607.3,13.00465753,4.81,36.55
18,2003,454.9,7.142191781,-21.75,30.08
18,2004,557.5,7.02704918,-14.19,27.52
18,2005,426.1,7.140273973,-18.74,28.97
18,2006,461.4,7.812054795,-21.69,31.84
19,2003,365.6,11.17029289,-4.91,30.08
19,2004,557.5,7.02704918,-14.19,27.52
19,2005,426.1,7.110164835,-18.74,28.97
19,2006,461.4,7.812054795,-21.69,31.84
20,2003,365.6,11.17029289,-4.91,30.08
20,2004,557.5,7.02704918,-14.19,27.52
20,2005,426.1,7.110164835,-18.74,28.97
20,2006,461.4,7.812054795,-21.69,31.84
21,2003,218.1,7.608411215,-5.28,23.79
21,2004,830.6,10.28333333,-6.19,29.88
21,2005,796,10.5490411,-8.65,30.03
21,2006,756.5,11.5257485,-6.18,32.17
22,2003,621.2,7.352459016,-2.25,17.34
22,2004,1453.6,8.184153005,-4.91,25.46
22,2005,1375.8,7.990410959,-6.47,22.06
22,2006,1489.2,8.665205479,-7.63,24.87
23,2002,468.5,5.144680851,-10.68,21.91
23,2003,1221,4.249315068,-11.34,23.31
23,2004,971.6,4.439344262,-9.81,24.29
23,2005,1108.3,4.551232877,-8.86,22.01
23,2006,602,5.276757813,-9.87,20.35
24,2002,467.9,6.132544379,-18.2,26.43
24,2003,758.5,6.243287671,-19.62,27.15
24,2004,841.2,6.496721311,-15.43,27.37
24,2005,681,6.869589041,-13.67,27.11
25,2004,590.3,3.100179994,-20.843,25.4
25,2005,461.9,3.709661646,-19.624,24.149
25,2006,609.7,3.688541096,-21.567,26.61
26,2003,138.6,6.890909091,-4.84,26.08
26,2004,584.7,9.118852459,-13.24,30.46
26,2005,665.3,8.882465753,-10.6,30.64
26,2006,549.4,9.633150685,-18.62,33.94
27,2004,458.2,11.56524823,-4.76,30.46
27,2005,665.3,8.882465753,-10.6,30.64
27,2006,549.4,9.633150685,-18.62,33.94
28,2002,54,8.56,0.7,15.3
28,2003,460,14.67534247,-4.9,37.8
28,2004,205,14.05874317,-4,36.9
28,2005,220,14.19041096,-7.7,37.2
28,2006,322,15.11643836,-5.6,37.8
30,2003,689,12.6388664,-2.82,30.71
