SITE,COUNTRY,YEAR,YEARN,NH,HARVEST,HARVEST_DATE,PLOT,TREAT,REP,G1,G2,L1,L2,E,DENS,G1_Y,G2_Y,L1_Y,L2_Y,WEED_Y,HARV_YIELD
1,Belgium,2003,1,4,1,26/05/2003,1,1,1,0.7,0.1,0.1,0.1,0.64,High,4.390053818,2.348168321,0.526178186,0.212041955,0.109947681,7.586389961
1,Belgium,2003,1,4,1,26/05/2003,2,1,1,0.1,0.7,0.1,0.1,0.64,High,1.267810587,3.986729677,0.412420311,0.038187066,0.099286371,5.804434013
1,Belgium,2003,1,4,1,26/05/2003,3,1,1,0.1,0.1,0.7,0.1,0.64,High,2.17070755,2.184577886,1.199784045,0.104027518,0.506267256,6.165364255
1,Belgium,2003,1,4,1,26/05/2003,4,1,1,0.1,0.1,0.1,0.7,0.64,High,2.232547256,2.848422361,0.342152836,0.18818406,0.265168448,5.876474961
1,Belgium,2003,1,4,1,26/05/2003,5,1,1,0.25,0.25,0.25,0.25,1,High,3.198825286,2.078788421,0.887069197,0.51073681,0.241927963,6.917347678
1,Belgium,2003,1,4,1,26/05/2003,6,1,1,0.4,0.4,0.1,0.1,0.88,High,2.445794117,2.579201069,0.344634626,0.600331283,0.266813904,6.236774998
1,Belgium,2003,1,4,1,26/05/2003,7,1,1,0.4,0.1,0.4,0.1,0.88,High,3.252920646,2.239379056,1.417588576,0.095875556,0.095875556,7.10163939
1,Belgium,2003,1,4,1,26/05/2003,8,1,1,0.4,0.1,0.1,0.4,0.88,High,3.844909458,2.656184785,0.254141137,0.172160125,0.34432025,7.271715755
1,Belgium,2003,1,4,1,26/05/2003,9,1,1,0.1,0.4,0.4,0.1,0.88,High,1.243918257,3.631533868,0.707441663,0.079587187,0.22991854,5.892399515
1,Belgium,2003,1,4,1,26/05/2003,10,1,1,0.1,0.4,0.1,0.4,0.88,High,1.528347699,2.894105217,0.390216434,0.300791834,0.487770542,5.601231726
1,Belgium,2003,1,4,1,26/05/2003,11,1,1,0.1,0.1,0.4,0.4,0.88,High,2.016360476,2.161836148,1.05554441,0.240204016,0.175924068,5.649869118
1,Belgium,2003,1,4,1,26/05/2003,12,1,1,1,0,0,0,0,High,5.539044211,0,0,0,0.205495738,5.744539949
1,Belgium,2003,1,4,1,26/05/2003,13,1,1,0,1,0,0,0,High,0,4.618576427,0,0,0.106787894,4.725364322
1,Belgium,2003,1,4,1,26/05/2003,14,1,1,0,0,1,0,0,High,0,0,3.390731492,0,1.078869111,4.469600603
1,Belgium,2003,1,4,1,26/05/2003,15,1,1,0,0,0,1,0,High,0,0,0,1.685676738,1.702311705,3.387988443
1,Belgium,2003,1,4,1,26/05/2003,16,1,1,0.7,0.1,0.1,0.1,0.64,Low,3.900185518,1.005012344,0.765284629,0.313490089,0.47945543,6.463428009
1,Belgium,2003,1,4,1,26/05/2003,17,1,1,0.1,0.7,0.1,0.1,0.64,Low,0.971581683,3.605937388,0.26734798,0.097810237,0.176058426,5.118735714
1,Belgium,2003,1,4,1,26/05/2003,18,1,1,0.1,0.1,0.7,0.1,0.64,Low,2.13052128,1.994025487,1.519257514,0.047476797,0.225514787,5.916795866
1,Belgium,2003,1,4,1,26/05/2003,19,1,1,0.1,0.1,0.1,0.7,0.64,Low,1.699852682,3.304042659,0.220760089,0.610769578,0.286988115,6.122413123
1,Belgium,2003,1,4,1,26/05/2003,20,1,1,0.25,0.25,0.25,0.25,1,Low,2.782391928,2.648121004,0.634057142,0.365515294,0.111892437,6.541977804
1,Belgium,2003,1,4,1,26/05/2003,21,1,1,0.4,0.4,0.1,0.1,0.88,Low,2.46842655,2.476188897,0.551126683,0.170771648,0.364830339,6.031344117
1,Belgium,2003,1,4,1,26/05/2003,22,1,1,0.4,0.1,0.4,0.1,0.88,Low,3.228496692,0.915083457,1.336638758,0.020563673,0.709446725,6.210229305
1,Belgium,2003,1,4,1,26/05/2003,23,1,1,0.4,0.1,0.1,0.4,0.88,Low,3.495318245,1.445979869,0.68658037,0.488928445,0.395303849,6.512110778
1,Belgium,2003,1,4,1,26/05/2003,24,1,1,0.1,0.4,0.4,0.1,0.88,Low,0.666635148,3.143790753,0.871170931,0.371194571,0.234837382,5.287628784
1,Belgium,2003,1,4,1,26/05/2003,25,1,1,0.1,0.4,0.1,0.4,0.88,Low,1.257084406,3.541358404,0.171198265,0.34728791,0.225003435,5.541932419
1,Belgium,2003,1,4,1,26/05/2003,26,1,1,0.1,0.1,0.4,0.4,0.88,Low,0.679044998,2.71617999,1.305855764,0.344745922,0.825300843,5.871127517
1,Belgium,2003,1,4,1,26/05/2003,27,1,1,1,0,0,0,0,Low,5.95234639,0,0,0,0.502707345,6.455053735
