site,country,location,lat_deg,lat_min,lat_ns,long_deg,long_min,long_ew,elevation,mixture_type,g1_species,g1_variety,g2_species,g2_variety,l1_species,l1_variety,l2_species,l2_variety,sowing_date,sowing_method,P_sown,K_sown,N_sown,an_P,an_K,an_N,y1_harv,y2_harv,y3_harv,y4_harv,harvest_ht,sep_method,plot_size,area_yield,area_composition,harvest_method,treat_details,cleaning_cut_date,weeding_details
1,Belgium,Merelbeke,50,59,N,3,49,E,11,Other,Lolium perenne,Ritz,Phleum pratense,Comer,Trifolium pratense,Lemmon,Trifolium repens,Merida,09-03-2002,Drilled,0,0,0,70,420,150,4,3,4,0,5cm,Grabbed Sample,8.3,8.3,grabbed,By Machine,Genetic (Other),4/24/2003,NA
7,Finland,Mikkeli,61,40,N,27,13,E,107,Other,Phleum pratense,Tuure,Festuca arundinacea,Retu,Trifolium pratense,Betty,Trifolium repens,Norstar,5/28/2003,Drilled,9,24,60,38,100,60,3,3,0,0,5cm,Fixed Quadrat A,16,15,0.25,By Machine,Legume Species,NA,NA
9,France,Auzeville Tolosane,43,5,N,1,43,E,150,MM,Lolium perenne,Vizandio,Dactylis glomerata,Gadara,Trifolium pratense,Arni,Medicago sativa,Ylike,09-10-2003,Hand Sown,150,150,20,0,0,120,3,2,3,0,5cm,Fixed Quadrat B,6,1,0.25,Manually,Nitrogen (Core=120; Treatment=40),NA,NA
10,Germany_a,Renningen,48,46,N,9,11,E,460,ME,Lolium perenne,Lacerta,Dactylis glomerata,Accord,Trifolium pratense,Merviot,Trifolium repens,Milo,4/29/2003,Hand Sown,0,0,0,35,210,150,4,5,5,0,5cm,Fixed Quadrat B,18,8.75,0.25,By Machine,None,06-12-2003,NA
11,Germany_b,St. Johann,48,28,N,9,18,E,834,ME,Lolium perenne,Lacerta,Dactylis glomerata,Accord,Trifolium pratense,Merviot,Trifolium repens,Milo,4/13/2004,Hand Sown,0,0,0,40,150,150,4,4,0,0,5cm,Fixed Quadrat B,18,8.75,0.2,By Machine,None,NA,NA
13,Iceland_a,Reykjavik,64,9,N,21,45,W,35,NE,Phleum pratense,Vega,Poa pratensis,Fylking,Trifolium pratense,Betty,Trifolium repens,Norstar,6/14/2002,Hand Sown,50,70,50,40,60,40,2,2,2,0,5cm,Grabbed Sample,6,0.4,grabbed,Manually,Cutting Frequency (Low=2cuts; High=3cuts),NA,NA
14,Iceland_b,Reykjavik,64,9,N,21,45,W,35,NE,Phleum pratense,Vega,Poa pratensis,Knut,Trifolium pratense,Bjursele,Trifolium repens,Norstar,5/27/2003,Drilled,50,70,50,40,60,80,2,2,2,0,5cm,Fixed Quadrat A,10,10,0.25,Manually,Genetic (NE),09-08-2003,NA
15,Ireland_a,Johnstown Castle,52,16,N,6,30,W,30,ME,Lolium perenne,Lacerta,Dactylis glomerata,Accord,Trifolium pratense,Merviot,Trifolium repens,Milo,4/20/2003,Hand Sown,0,0,30,0,0,150,5,5,5,0,5cm,Grabbed Sample,16,6,grabbed,By Machine,Genetic (ME),8/15/2003,8/30/2003 Spot spraying of docks and thistles
16,Italy,Sassari,40,44,N,8,32,E,80,DM,Lolium rigidum,Nurra,Dactylis glomerata,Currie,Medicago polymorpha,Anglona,Medicago sativa,Mamuntanas,10/15/2002,Hand Sown,60,0,54,46,0,60,4,5,5,0,5cm,Fixed Quadrat A,9,1,1,By Machine,None,NA,NA
18,Lithuania_a,Dotnuva,55,24,N,23,50,E,71,ME,Lolium perenne,Sodre,Dactylis glomerata,Aukstuole,Trifolium pratense,Arimaiciai,Trifolium repens,Suduniai,2/26/2002,Drilled,26,50,0,26,50,120,3,3,3,0,5cm,Grabbed Sample,47.5,18.75,grabbed,By Machine,Nitrogen (Core=120; Treatment=0),8/15/2002,NA
19,Lithuania_b,Dotnuva,55,24,N,23,50,E,71,ME,Lolium perenne,Sodre,Dactylis glomerata,Aukstuole,Trifolium pratense,Arimaiciai,Trifolium repens,Suduniai,05-07-2003,Drilled,26,50,0,26,50,120,3,2,2,0,5cm,Grabbed Sample,6.5,6,grabbed,By Machine,Genetic (ME),10-10-2003,NA
20,Lithuania_c,Dotnuva,55,24,N,23,50,E,72,ME,Lolium perenne,Lacerta,Dactylis glomerata,Accord,Trifolium pratense,Merviot,Trifolium repens,Milo,05-07-2003,Drilled,26,50,0,26,50,120,3,3,2,0,5cm,Grabbed Sample,24,12.5,grabbed,By Machine,Lithuanian varieties,10-10-2003,NA
21,Netherlands,Wageningen,51,58,N,5,40,E,7,ME,Lolium perenne,Barnhem,Dactylis glomerata,Lupre,Trifolium pratense,Pirat,Trifolium repens,Klondike,9/16/2003,Drilled,80,40,60,"Year1: 0, Year2: 86.4, Year3: 60","Year1: 0, Year2: 172.8, Year3: 100","Year1:0, Year2: 108, Year3: 108",5,5,5,0,5cm,Grabbed Sample,6,6,0.03,By Machine,Genetic (ME),NA,6/11/2004 and 27/08/2004 white clover removed from grass monos
22,Norway_a,Saerhaim,58,46,N,5,39,E,90,ME,Lolium perenne,Helmer,Dactylis glomerata,Dactus,Trifolium pratense,Fanny,Trifolium repens,Ramona,07-04-2003,Hand Sown,0,0,0,30,102,0,3,3,3,0,5cm,Grabbed Sample,12,8,grabbed,By Machine,Nitrogen (Core=0; Treatment=240),09-01-2003,NA
23,Norway_b,Holt,69,40,N,18,56,E,15,NE,Phleum pratense,Vega,Poa pratensis,Knut,Trifolium pratense,Betty,Trifolium repens,Norstar,6/27/2002,Drilled,62,90,55,25,95,60,2,2,2,0,5cm,Grabbed Sample,21,8,8,By Machine,None,7/31/2002,NA
24,Norway_c,As,59,40,N,10,51,E,95,ME,Lolium perenne,Helmer,Dactylis glomerata,Dactus,Trifolium pratense,Fanny,Trifolium repens,Ramona,7/16/2002,Drilled,27,100,80,27,100,135,3,3,3,0,5cm,Grabbed Sample,12,9.75,grabbed,By Machine,None,NA,NA
25,Norway_d,Loken,61,7,N,9,4,E,435,NE,Phleum pratense,Vega,Poa pratense,Knut,Trifolium pratense,Betty,Trifolium repens,Norstar,06-03-2003,Drilled,10,35,40,35,100,80,2,2,2,0,5cm,Grabbed Sample,10.5,8.25,0.3,By Machine,Genetic (NE),8/25/2003,NA
26,Poland_a,Brody,52,26,N,16,18,E,94.2,ME,Lolium perenne,Lacerta,Dactylis glomerata,Accord,Trifolium pratense,Merviot,Trifolium repens,Milo,09-02-2003,Hand Sown,20,30,30,60,90,120,4,4,3,0,5cm,Fixed Quadrat A,9,6.25,1,By Machine,None,11-02-2003,NA
