"","site","day","month","year","date","precip","air_min","air_mean","air_max"
"1",1,3,9,2002,2002-09-03,"0","10.8","16.7","22.6"
"2",1,4,9,2002,2002-09-04,"0","7.2","15.3","23.4"
"3",1,5,9,2002,2002-09-05,"0","7.4","15.5","23.6"
"4",1,6,9,2002,2002-09-06,"0","10.4","16.5","22.6"
"5",1,7,9,2002,2002-09-07,"0","15","18.4","21.8"
"6",1,8,9,2002,2002-09-08,"3.4","14.4","17.6","20.8"
"7",1,9,9,2002,2002-09-09,"8.2","13.6","17.7","21.8"
"8",1,10,9,2002,2002-09-10,"2.7","10.8","16.4","22"
"9",1,11,9,2002,2002-09-11,"0.4","11","16.2","21.4"
"10",1,12,9,2002,2002-09-12,"1.4","12.2","14.3","16.4"
"11",1,13,9,2002,2002-09-13,"0","9.4","15.8","22.2"
"12",1,14,9,2002,2002-09-14,"0","10.2","16.7","23.2"
"13",1,15,9,2002,2002-09-15,"0","10.2","15.7","21.2"
"14",1,16,9,2002,2002-09-16,"0","7.2","14","20.8"
"15",1,17,9,2002,2002-09-17,"0","8","13.6","19.2"
"16",1,18,9,2002,2002-09-18,"0","12.2","15.5","18.8"
"17",1,19,9,2002,2002-09-19,"0","8.2","13.7","19.2"
"18",1,20,9,2002,2002-09-20,"0","8.4","13.7","19"
"19",1,21,9,2002,2002-09-21,"0","10.4","14.1","17.8"
"20",1,22,9,2002,2002-09-22,"2.6","10.2","12.8","15.4"
"21",1,23,9,2002,2002-09-23,"8.4","10","14","18"
"22",1,24,9,2002,2002-09-24,"0","6.8","12","17.2"
"23",1,25,9,2002,2002-09-25,"0.4","4.8","10.8","16.8"
"24",1,26,9,2002,2002-09-26,"2.8","8.4","13","17.6"
"25",1,27,9,2002,2002-09-27,"4.6","9.8","13.1","16.4"
"26",1,28,9,2002,2002-09-28,"1.6","6.8","11.3","15.8"
"27",1,29,9,2002,2002-09-29,"0","5.2","12.5","19.8"
"28",1,30,9,2002,2002-09-30,"0","6.2","13.2","20.2"
"29",1,1,10,2002,2002-10-01,"0","6.4","13.4","20.4"
"30",1,2,10,2002,2002-10-02,"0","6.2","13.5","20.8"
"31",1,3,10,2002,2002-10-03,"0","10.8","16","21.2"
"32",1,4,10,2002,2002-10-04,"3.2","8.2","13","17.8"
"33",1,5,10,2002,2002-10-05,"0","8","12.9","17.8"
"34",1,6,10,2002,2002-10-06,"14.4","9.8","12.4","15"
"35",1,7,10,2002,2002-10-07,"0.5","2.6","9.2","15.8"
"36",1,8,10,2002,2002-10-08,"0","2.2","8","13.8"
"37",1,9,10,2002,2002-10-09,"0","3.2","7.7","12.2"
"38",1,10,10,2002,2002-10-10,"0","3","8.6","14.2"
"39",1,11,10,2002,2002-10-11,"0","4.2","9.6","15"
"40",1,12,10,2002,2002-10-12,"0","4.2","8.1","12"
"41",1,13,10,2002,2002-10-13,"2.3","5.2","7.5","9.8"
"42",1,14,10,2002,2002-10-14,"0.6","6.4","10.3","14.2"
"43",1,15,10,2002,2002-10-15,"1.8","9","10.6","12.2"
"44",1,16,10,2002,2002-10-16,"0","9.2","12.7","16.2"
"45",1,17,10,2002,2002-10-17,"3.2","7","10.3","13.6"
"46",1,18,10,2002,2002-10-18,"12.2","4.8","8.6","12.4"
"47",1,19,10,2002,2002-10-19,"0","1.8","6.8","11.8"
"48",1,20,10,2002,2002-10-20,"2.3","3.6","7.5","11.4"
"49",1,21,10,2002,2002-10-21,"2.4","11.2","13.5","15.8"
"50",1,22,10,2002,2002-10-22,"2.3","5.8","10.3","14.8"
"51",1,23,10,2002,2002-10-23,"3.2","8.2","11.3","14.4"
"52",1,24,10,2002,2002-10-24,"1.8","7.2","11.1","15"
"53",1,25,10,2002,2002-10-25,"0","5","10.4","15.8"
"54",1,26,10,2002,2002-10-26,"5.2","9.4","11.6","13.8"
"55",1,27,10,2002,2002-10-27,"17.2","5.2","10.5","15.8"
"56",1,28,10,2002,2002-10-28,"1.4","5.8","10.6","15.4"
"57",1,29,10,2002,2002-10-29,"0","5.2","9","12.8"
"58",1,30,10,2002,2002-10-30,"0.6","7","9.6","12.2"
"59",1,31,10,2002,2002-10-31,"0","8.2","11.1","14"
"60",1,1,11,2002,2002-11-01,"0","8","11.2","14.4"
"61",1,2,11,2002,2002-11-02,"7.7","11.2","13.3","15.4"
"62",1,3,11,2002,2002-11-03,"17.8","11.4","13.7","16"
"63",1,4,11,2002,2002-11-04,"0.5","7.2","11","14.8"
"64",1,5,11,2002,2002-11-05,"2.7","5","8.9","12.8"
"65",1,6,11,2002,2002-11-06,"0","4.4","9","13.6"
"66",1,7,11,2002,2002-11-07,"22.4","7.6","9.6","11.6"
"67",1,8,11,2002,2002-11-08,"0.8","4.2","7.5","10.8"
"68",1,9,11,2002,2002-11-09,"17.2","4.4","8.3","12.2"
"69",1,10,11,2002,2002-11-10,"1.4","3.4","7.4","11.4"
"70",1,11,11,2002,2002-11-11,"16.2","4.8","8.8","12.8"
"71",1,12,11,2002,2002-11-12,"1.4","6.2","9.7","13.2"
"72",1,13,11,2002,2002-11-13,"14.6","7.4","9.4","11.4"
"73",1,14,11,2002,2002-11-14,"0.6","8.2","10.6","13"
"74",1,15,11,2002,2002-11-15,"0","5","8.9","12.8"
"75",1,16,11,2002,2002-11-16,"0","3.2","7.8","12.4"
"76",1,17,11,2002,2002-11-17,"0","5","6.9","8.8"
"77",1,18,11,2002,2002-11-18,"0","4.2","7.1","10"
"78",1,19,11,2002,2002-11-19,"0","5","5.9","6.8"
"79",1,20,11,2002,2002-11-20,"0","4.6","6.6","8.6"
"80",1,21,11,2002,2002-11-21,"3.2","4.8","7.8","10.8"
"81",1,22,11,2002,2002-11-22,"0.3","7.2","10.9","14.6"
"82",1,23,11,2002,2002-11-23,"0","5","8.2","11.4"
"83",1,24,11,2002,2002-11-24,"2.8","5.4","8.2","11"
"84",1,25,11,2002,2002-11-25,"0","4.2","8.4","12.6"
"85",1,26,11,2002,2002-11-26,"2.8","5.2","7","8.8"
"86",1,27,11,2002,2002-11-27,"0","1.8","6","10.2"
"87",1,28,11,2002,2002-11-28,"1.3","1.8","5.8","9.8"
"88",1,29,11,2002,2002-11-29,"5.7","7","7.9","8.8"
"89",1,30,11,2002,2002-11-30,"0.4","4.8","7.9","11"
"90",1,1,12,2002,2002-12-01,"13.4","6.2","8.1","10"
"91",1,2,12,2002,2002-12-02,"0.3","3.2","6.6","10"
"92",1,3,12,2002,2002-12-03,"0","3.2","5.7","8.2"
"93",1,4,12,2002,2002-12-04,"0","2.2","4.4","6.6"
"94",1,5,12,2002,2002-12-05,"0","2.2","4","5.8"
"95",1,6,12,2002,2002-12-06,"0","2.2","5.2","8.2"
"96",1,7,12,2002,2002-12-07,"0","0.4","2.2","4"
"97",1,8,12,2002,2002-12-08,"0","0.4","1.4","2.4"
"98",1,9,12,2002,2002-12-09,"0","0.2","2.1","4"
"99",1,10,12,2002,2002-12-10,"0","-4.2","-1","2.2"
"100",1,11,12,2002,2002-12-11,"0","-6","-3.6","-1.2"
"101",1,12,12,2002,2002-12-12,"0","-5.8","-3.4","-1"
"102",1,13,12,2002,2002-12-13,"2.1","-5.4","-2.8","-0.2"
"103",1,14,12,2002,2002-12-14,"2.2","2.4","3.8","5.2"
"104",1,15,12,2002,2002-12-15,"41.2","2.2","3.5","4.8"
"105",1,16,12,2002,2002-12-16,"10.2","4.8","6.8","8.8"
"106",1,17,12,2002,2002-12-17,"2.2","3.8","5.3","6.8"
"107",1,18,12,2002,2002-12-18,"0.4","-1.8","1","3.8"
"108",1,19,12,2002,2002-12-19,"0","-3","0.1","3.2"
"109",1,20,12,2002,2002-12-20,"0","-3","0","3"
"110",1,21,12,2002,2002-12-21,"3.3","-1.4","1.2","3.8"
"111",1,22,12,2002,2002-12-22,"10.4","6.2","6.2","6.2"
"112",1,23,12,2002,2002-12-23,"8.2","7.4","7.8","8.2"
"113",1,24,12,2002,2002-12-24,"0.4","7.8","7.8","7.8"
"114",1,25,12,2002,2002-12-25,"1.2","8.2","10.3","12.4"
"115",1,26,12,2002,2002-12-26,"2.6","7.4","9.3","11.2"
